horizon,risk_range,count,mae,actual_mean,predicted_mean,bias
24h,0-20%,3723,3.6217341130756586,2.3022643029814662,5.045316014479236,2.74305171149777
24h,20-50%,105,20.38926714653292,32.88171428571429,35.51205225110824,2.6303379653939487
24h,50-80%,144,43.34458625916137,63.24041666666666,24.89032651216454,-38.350090154502126
24h,80-100%,628,8.63415124049459,97.58334394904458,89.68658569911923,-7.896758249925341
48h,0-20%,3730,6.1561516983797215,2.2821823056300268,7.917373013649338,5.635190708019311
48h,20-50%,104,22.68141207995619,32.98259615384615,33.61789218599331,0.6352960321471599
48h,50-80%,140,43.6650775617448,62.826357142857134,23.27073596303465,-39.55562117982248
48h,80-100%,626,27.83384353902362,97.56477635782747,70.0965906677547,-27.468185690072772
3d,0-20%,3738,8.609684886059025,2.282921348314607,10.586984475452699,8.304063127138091
3d,20-50%,104,20.485864142068753,32.83846153846154,34.694764002002266,1.8563024635407288
3d,50-80%,139,41.06399085347705,62.78978417266186,25.11605644892744,-37.673727723734416
3d,80-100%,619,47.004196672298626,97.53560581583199,50.716420986802575,-46.81918482902941
7d,0-20%,3793,12.545875713825062,2.227592934352755,14.54155531340784,12.313962379055086
7d,20-50%,102,15.3954289971539,32.51019607843138,18.3523125332293,-14.157883545202079
7d,50-80%,130,44.99202768448716,62.451307692307694,17.459280007820528,-44.99202768448717
7d,80-100%,575,80.47048539468736,97.47699130434782,17.006505909660454,-80.47048539468736
