cow_id,date,milk_yield_liters,milk_conductivity_ms_cm,cow_activity,environment_temperature_c,milk_temperature_c,humidity_percent,previous_mastitis,days_since_last_mastitis,mastitis_today
COW_001,2026-01-01,23.63,5.5,343.7,22.4,38.67,81.6,0,999,0
COW_001,2026-01-02,21.78,5.79,373.4,23.1,38.52,76.7,0,999,0
COW_001,2026-01-03,20.22,5.44,349.5,16.8,38.47,70.9,0,999,0
COW_001,2026-01-04,22.19,6.48,326.0,21.7,38.41,75.1,0,999,0
COW_001,2026-01-05,19.64,6.13,322.7,19.5,38.55,72.6,0,999,0
COW_001,2026-01-06,23.14,6.54,348.8,18.7,38.38,76.2,0,999,0
COW_001,2026-01-07,22.54,5.46,342.9,17.7,38.39,75.6,0,999,0
COW_001,2026-01-08,21.91,5.41,342.5,23.1,38.54,65.8,0,999,0
COW_001,2026-01-09,20.01,5.48,340.1,17.3,38.14,76.9,0,999,0
COW_001,2026-01-10,24.08,5.47,320.2,23.4,38.42,72.0,0,999,0
COW_001,2026-01-11,22.16,5.46,354.8,16.9,38.47,79.5,0,999,0
COW_001,2026-01-12,20.99,5.54,309.8,19.6,38.27,72.0,0,999,0
COW_001,2026-01-13,22.46,5.43,369.6,22.1,38.43,70.5,0,999,0
COW_001,2026-01-14,20.37,5.32,356.1,19.9,38.41,69.5,0,999,0
COW_001,2026-01-15,23.18,5.59,327.0,25.6,38.63,77.2,0,999,0
COW_001,2026-01-16,20.96,5.89,333.3,23.3,38.55,63.5,0,999,0
COW_001,2026-01-17,24.17,5.58,327.3,23.5,38.53,74.0,0,999,0
COW_001,2026-01-18,20.69,6.29,363.1,20.0,38.3,72.5,0,999,0
COW_001,2026-01-19,20.09,5.31,316.5,24.9,38.57,73.4,0,999,0
COW_001,2026-01-20,23.85,6.0,332.9,21.6,38.46,70.7,0,999,0
COW_001,2026-01-21,20.95,6.11,344.9,24.6,38.56,70.5,0,999,0
COW_001,2026-01-22,21.12,5.66,350.2,25.8,38.67,71.4,0,999,0
COW_001,2026-01-23,20.88,6.13,319.1,24.9,38.77,72.7,0,999,0
COW_001,2026-01-24,21.11,6.09,334.9,21.4,38.77,69.1,0,999,0
COW_001,2026-01-25,20.91,5.91,335.8,23.0,38.57,72.6,0,999,1
COW_001,2026-01-26,19.13,6.06,302.5,24.7,38.7,67.2,1,1,1
COW_001,2026-01-27,15.57,6.8,314.4,21.3,38.6,61.1,1,1,1
COW_001,2026-01-28,20.28,6.27,279.2,24.5,38.39,64.1,1,1,1
COW_001,2026-01-29,21.71,6.11,276.3,25.3,38.53,59.9,1,1,1
COW_001,2026-01-30,18.96,5.88,325.1,27.2,38.68,68.6,1,1,1
COW_001,2026-01-31,21.78,5.73,326.7,24.2,38.28,72.2,1,1,0
COW_001,2026-02-01,19.78,5.59,338.6,25.9,38.44,63.0,1,2,0
COW_001,2026-02-02,19.82,5.79,366.4,24.1,38.45,56.6,1,3,0
COW_001,2026-02-03,21.3,5.7,317.2,26.1,38.36,62.7,1,4,0
